id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
804,Clouds,overcast clouds,04d,stations,10000,1746087195,19800,Tiruchirappalli,200,78.6965,10.8155,36.31,38.72,36.31,36.31,1007,37,1007,998,1.29,199,1.71,100,IN,1746059216,1746104252,0,0,2025-05-01 08:13:15
804,Clouds,overcast clouds,04d,stations,10000,1746087255,19800,Tirunelveli,200,77.6845,8.7252,35.31,38.45,35.31,35.31,1007,42,1007,1000,1.18,109,1.64,100,IN,1746059599,1746104354,0,0,2025-05-01 08:14:15
804,Clouds,overcast clouds,04d,stations,10000,1746087255,19800,Tiruvannamalai,200,79.073,12.2302,37.63,39.13,37.63,37.63,1006,31,1006,986,2.96,145,3.18,100,IN,1746059029,1746104258,0,0,2025-05-01 08:14:15
802,Clouds,scattered clouds,03d,stations,10000,1746087255,19800,Korampallam,200,78.1519,8.805,34.14,40.15,34.14,34.14,1007,54,1007,1006,6.91,174,6.03,25,IN,1746059482,1746104247,0,0,2025-05-01 08:14:15
804,Clouds,overcast clouds,04d,stations,10000,1746087255,19800,Valparai,200,76.9553,10.3252,25.52,25.98,25.52,25.52,1011,71,1011,893,1.9,274,1.62,100,IN,1746059667,1746104636,0,0,2025-05-01 08:14:15
804,Clouds,overcast clouds,04d,stations,10000,1746087255,19800,Vellore,200,79.1371,12.9058,38.98,40.45,38.98,38.98,1006,28,1006,972,3.67,111,3.71,90,IN,1746058967,1746104289,0,0,2025-05-01 08:14:15
800,Clear,clear sky,01d,stations,10000,1746087255,19800,Kinwat,200,78.31,19.4,41.09,38.78,41.09,41.09,1006,13,1006,956,0.26,32,3.28,0,IN,1746058701,1746104952,0,0,2025-05-01 08:14:15
800,Clear,clear sky,01d,stations,10000,1746087256,19800,Hyderabad,200,78.4564,17.3841,38.59,42.92,38.59,38.59,1010,36,1010,944,1.63,144,3.07,4,IN,1746058814,1746104769,0,0,2025-05-01 08:14:16
800,Clear,clear sky,01d,stations,10000,1746087256,19800,Karimnagar,200,79.1322,18.4367,40.37,39.91,40.37,40.37,1005,20,1005,971,3.02,168,4.1,0,IN,1746058575,1746104683,0,0,2025-05-01 08:14:16
800,Clear,clear sky,01d,stations,10000,1746087256,19800,Khammam,200,80.1437,17.2477,40.04,41.93,40.04,40.04,1006,27,1006,991,3.82,164,2.11,1,IN,1746058419,1746104354,0,0,2025-05-01 08:14:16
800,Clear,clear sky,01d,stations,10000,1746087256,19800,Mahbubnagar,200,78.0,16.75,37.98,37.09,37.98,37.98,1006,22,1006,950,1.69,112,3.1,0,IN,1746058969,1746104833,0,0,2025-05-01 08:14:16
800,Clear,clear sky,01d,stations,10000,1746087256,19800,Nalgonda,200,79.27,17.05,39.22,40.5,39.22,39.22,1006,27,1006,980,4.11,176,2.45,0,IN,1746058643,1746104549,0,0,2025-05-01 08:14:16
800,Clear,clear sky,01d,stations,10000,1746087256,19800,Nizamabad,200,78.1001,18.6732,40.91,38.58,40.91,40.91,1005,13,1005,960,3.36,28,4.35,2,IN,1746058805,1746104949,0,0,2025-05-01 08:14:16
800,Clear,clear sky,01d,stations,10000,1746087256,19800,Karimnagar,200,79.28,18.45,40.65,40.66,40.65,40.65,1005,21,1005,976,3.38,177,4.07,0,IN,1746058539,1746104649,0,0,2025-05-01 08:14:16
800,Clear,clear sky,01d,stations,10000,1746087256,19800,Warangal,200,79.6002,17.9784,39.76,40.33,39.76,39.76,1006,24,1006,975,4.33,177,2.88,0,IN,1746058496,1746104538,0,0,2025-05-01 08:14:16
801,Clouds,few clouds,02d,stations,10000,1746087256,19800,Agartala,200,91.2794,23.836,35.34,37.54,35.34,35.34,1008,39,1008,1005,0.67,333,1.45,16,IN,1746055249,1746102180,0,0,2025-05-01 08:14:16
800,Clear,clear sky,01d,stations,10000,1746087257,19800,Belanganj,200,78.0039,27.1879,39.34,37.24,39.34,39.34,1006,15,1006,987,4.08,106,2.96,0,IN,1746058158,1746105642,0,0,2025-05-01 08:14:17
800,Clear,clear sky,01d,stations,10000,1746086987,19800,Aligarh,200,78.069,27.8815,38.59,36.56,38.59,38.59,1006,16,1006,985,4.58,125,3.03,3,IN,1746058083,1746105686,0,0,2025-05-01 08:09:47
801,Clouds,few clouds,02d,stations,10000,1746087257,19800,George Town,200,81.8432,25.4448,39.13,37.42,39.13,39.13,1006,17,1006,995,1.81,75,1.43,22,IN,1746057382,1746104575,0,0,2025-05-01 08:14:17
801,Clouds,few clouds,02d,stations,10000,1746087257,19800,Fatehpur,200,80.7921,25.8943,38.71,37.6,38.71,38.71,1006,20,1006,993,3.49,103,2.89,14,IN,1746057597,1746104864,0,0,2025-05-01 08:14:17
803,Clouds,broken clouds,04d,stations,10000,1746087257,19800,Rampur,200,79.0403,28.8045,38.09,36.36,38.09,38.09,1007,18,1007,986,5.49,129,4.08,61,IN,1746057770,1746105533,0,0,2025-05-01 08:14:17
803,Clouds,broken clouds,04d,stations,10000,1746087257,19800,Bareilly,200,79.4219,28.347,38.17,36.26,38.17,38.17,1008,17,1008,988,5.09,130,4.19,55,IN,1746057718,1746105401,0,0,2025-05-01 08:14:17
801,Clouds,few clouds,02d,stations,10000,1746087257,19800,Bahraich,200,81.6947,27.5982,37.86,36.48,37.86,37.86,1008,20,1008,993,6.04,107,5.32,12,IN,1746057238,1746104791,0,0,2025-05-01 08:14:17
802,Clouds,scattered clouds,03d,stations,10000,1746087257,19800,Budaun,200,79.1267,28.0381,38.07,36.14,38.07,38.07,1007,17,1007,988,5.64,118,4.19,28,IN,1746057816,1746105445,0,0,2025-05-01 08:14:17
802,Clouds,scattered clouds,03d,stations,10000,1746086858,19800,Bulandshahr,200,77.8606,28.402,37.59,36.13,37.59,37.59,1007,20,1007,983,4.33,125,3.16,33,IN,1746058088,1746105781,0,0,2025-05-01 08:07:38
800,Clear,clear sky,01d,stations,10000,1746087257,19800,Firozabad,200,78.3978,27.1509,39.39,37.3,39.39,39.39,1006,15,1006,988,4.86,105,3.19,0,IN,1746058067,1746105544,0,0,2025-05-01 08:14:17
801,Clouds,few clouds,02d,stations,10000,1746087258,19800,Faizabad,200,82.1502,26.7755,38.39,37.17,38.39,38.39,1007,20,1007,996,5.73,105,4.97,24,IN,1746057198,1746104612,0,0,2025-05-01 08:14:18
800,Clear,clear sky,01d,stations,10000,1746087258,19800,Ghaziabad,200,77.4391,28.6654,36.28,35.87,36.28,36.28,1008,27,1008,982,3.31,133,2.99,6,IN,1746058166,1746105905,0,0,2025-05-01 08:14:18
800,Clear,clear sky,01d,stations,10000,1746087258,19800,Gorakhpur,200,83.3806,26.7354,38.02,36.47,38.02,38.02,1008,19,1008,998,5.28,97,4.83,9,IN,1746056906,1746104313,0,0,2025-05-01 08:14:18
800,Clear,clear sky,01d,stations,10000,1746086903,19800,Hapur,200,77.7818,28.7275,37.29,35.95,37.29,37.29,1007,21,1007,982,4.37,122,3.0,9,IN,1746058079,1746105828,0,0,2025-05-01 08:08:23
800,Clear,clear sky,01d,stations,10000,1746087258,19800,Hathras,200,78.0138,27.5927,39.04,36.89,39.04,39.04,1006,15,1006,986,4.65,119,3.07,1,IN,1746058121,1746105674,0,0,2025-05-01 08:14:18
800,Clear,clear sky,01d,stations,10000,1746087258,19800,Jhansi,200,78.5799,25.4589,40.22,38.03,40.22,40.22,1005,14,1005,977,3.77,31,4.32,0,IN,1746058164,1746105360,0,0,2025-05-01 08:14:18
800,Clear,clear sky,01d,stations,10000,1746087253,19800,Lucknow,200,80.9242,26.8425,37.89,41.87,37.89,37.89,1008,37,1008,993,3.99,116,4.34,0,IN,1746057487,1746104912,0,0,2025-05-01 08:14:13
